No augmentation,Augmentation 1,Augmentation 2
41.1412809,37.46406933,38.72301779
39.35948352,42.51786032,33.43824032
39.18250792,37.54051908,36.74148999
47.28820465,39.14709662,40.87440243
46.78873599,35.78899662,47.62191732
46.17298104,34.97232017,33.22791472
43.13214757,41.6428561,35.52875188
46.66576521,41.40851538,45.032027
45.78571224,41.05254843,33.94461937
42.38943613,36.6808756,39.22392844
43.66252804,34.95448526,36.48597278
40.23276581,37.81715034,33.44819298
42.12516131,39.72561539,36.80100076
41.74778696,39.12500443,45.53299109
42.82549811,38.94200068,34.73605436
42.22840362,42.7674443,42.79343751
41.48099714,41.56799178,37.50910123
50.58840124,39.8017032,31.72890529
41.80808398,41.63618648,34.57606903
45.74292509,49.23193579,32.45825889
44.2301985,39.8884007,44.82315695
40.55980823,41.84345299,32.73026223
40.91977675,35.71493673,32.25495728
